task_id,request_id,title,created_date,module,scheduled_start_time,scheduled_end_time,actual_start_time,actual_end_time,status_id,status_name,group_name,group_id,owner_Email,owner_Name,owner_id,CreatedBy_Email,CreatedBy_Name,CreatedBy_id,Priority_name,percentage_completion,Estimated_effort_days,task_type_name,Task_order,overdue,ticket_id,subject,description,site_id,site_name
1989000007308580,1989000000232923,,"{'display_value': 'Aug 22, 2025 01:14 PM', 'value': '1755848678001'}",,,,,,1989000000004943,Resolved,BI,1989000000279305,,,,,,,,,,,,,,P02 FRT Load 220825,,,
1989000007302383,1989000000232923,,"{'display_value': 'Aug 21, 2025 01:11 PM', 'value': '1755762095519'}",,,,,,1989000000004943,Resolved,BI,1989000000279305,,,,,,,,,,,,,,P02 FRT Load 210825,,,
1989000007295739,1989000000254090,,"{'display_value': 'Aug 21, 2025 06:57 AM', 'value': '1755739647590'}",,,,,,1989000000045001,Cancelled,BI,1989000000279305,,,,,,,,,,,,,,Production Order Targets not appearing in Waste BI Report,,,
1989000007271453,1989000000254132,,"{'display_value': 'Aug 18, 2025 09:12 AM', 'value': '1755488521690'}",,,,,,1989000000279458,Awaiting User,BI,1989000000279305,,,,,,,,,,,,,,error with RDM,,,
1989000007268812,1989000000270748,,"{'display_value': 'Aug 18, 2025 06:44 AM', 'value': '1755479645595'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,access to upload in BI portal - Blueshift Odata reports,,,
1989000007260616,1989000000232923,,"{'display_value': 'Aug 15, 2025 08:28 AM', 'value': '1755226684594'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,P02 FRT PRO Load,,,
1989000007260297,1989000000272344,,"{'display_value': 'Aug 15, 2025 05:39 AM', 'value': '1755216543840'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Cost Component report ADF pipe line change,,,
1989000007255697,1989000000272344,,"{'display_value': 'Aug 14, 2025 11:27 AM', 'value': '1755151067353'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,add EXEC [FACT].[usp_MLO_QFW_F] into User QFW job,,,
1989000007249738,1989000007203255,,"{'display_value': 'Aug 13, 2025 11:28 AM', 'value': '1755064716563'}",,,,,,1989000000279458,Awaiting User,BI,1989000000279305,,,,,,,,,,,,,,Errors message keeps popping up.,,,
1989000007249720,1989000000255284,,"{'display_value': 'Aug 13, 2025 11:10 AM', 'value': '1755063621546'}",,,,,,1989000000004937,Open,BI,1989000000279305,,,,,,,,,,,,,,BI Change request - new purchase order model,,,
1989000007239571,1989000000259737,,"{'display_value': 'Aug 12, 2025 10:14 AM', 'value': '1754973842000'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,QFW refresh error,,,
1989000007239001,1989000000259737,,"{'display_value': 'Aug 12, 2025 05:05 AM', 'value': '1754955348335'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,BI refresh Self serve error,,,
1989000007226576,1989000000232783,,"{'display_value': 'Aug 11, 2025 06:42 AM', 'value': '1754874763621'}",,,,,,1989000000004937,Open,BI,1989000006885669,,,,,,,,,,,,,,FW: Regal - AVC/QVC Food Rebate Q2 2025,,,
1989000007226514,1989000000267115,,"{'display_value': 'Aug 11, 2025 05:47 AM', 'value': '1754871457398'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,CSL Metrics Workbook NOT refreshing,,,
1989000007226129,1989000000259737,,"{'display_value': 'Aug 8, 2025 10:09 AM', 'value': '1754627949148'}",,,,,,1989000000279426,In Progress,BI,1989000000279305,,,,,,,,,,,,,,BI - PPV Forecast,,,
1989000007221849,1989000000255550,,"{'display_value': 'Aug 8, 2025 07:48 AM', 'value': '1754619535426'}",,,,,,1989000000004937,Open,BI,1989000000279305,,,,,,,,,,,,,,Rolling Coverage Report,,,
1989000007221049,1989000000255550,,"{'display_value': 'Aug 7, 2025 09:18 AM', 'value': '1754538517157'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Re: Regression Testing Planned Order Creation with BI,,,
1989000007214351,1989000000232939,,"{'display_value': 'Aug 7, 2025 07:07 AM', 'value': '1754530641155'}",,,,,,1989000000045001,Cancelled,BI,1989000000279305,,,,,,,,,,,,,,Missing Items in PPV Report,,,
1989000007216456,1989000000232939,,"{'display_value': 'Aug 7, 2025 04:38 AM', 'value': '1754521694394'}",,,,,,1989000000279458,Awaiting User,BI,1989000000279305,,,,,,,,,,,,,,Re: PPV,,,
1989000007212130,1989000000232939,,"{'display_value': 'Aug 6, 2025 10:21 AM', 'value': '1754455913156'}",,,,,,1989000000279426,In Progress,BI,1989000000279305,,,,,,,,,,,,,,The following Material Number - 5001635 is not available in the report.,,,
1989000007208344,1989000000257483,,"{'display_value': 'Aug 6, 2025 06:23 AM', 'value': '1754441629609'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,P&C Dashboard,,,
1989000007195635,1989000000254125,,"{'display_value': 'Aug 5, 2025 05:33 AM', 'value': '1754352218253'}",,,,,,1989000000279458,Awaiting User,BI,1989000000279305,,,,,,,,,,,,,,Cost centre mapping for Pre SAP days,,,
1989000007190368,1989000000254125,,"{'display_value': 'Aug 4, 2025 07:51 AM', 'value': '1754274117357'}",,,,,,1989000000279426,In Progress,BI,1989000000279305,,,,,,,,,,,,,,Data reconciliation for MLO FY26 after COPA Change,,,
1989000007178220,1989000000232939,,"{'display_value': 'Aug 1, 2025 05:37 AM', 'value': '1754006869660'}",,,,,,1989000000004937,Open,BI,1989000000279305,,,,,,,,,,,,,,Add last good receipt into SLED report,,,
1989000007169642,1989000000254090,,"{'display_value': 'Jul 31, 2025 08:11 AM', 'value': '1753929687678'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Power Apps - Budget trigger,,,
